[2022-11-01 15:10:49,070][lightning][INFO] - successful load initial weights
[2022-11-01 15:10:53,151][lightning][INFO] - reference : джой хватит
[2022-11-01 15:10:53,151][lightning][INFO] - prediction: 
[2022-11-01 15:10:53,404][lightning][INFO] - reference : джой надоел
[2022-11-01 15:10:53,404][lightning][INFO] - prediction: 
[2022-11-01 15:10:53,713][lightning][INFO] - reference : салют приложение сверни
[2022-11-01 15:10:53,713][lightning][INFO] - prediction: 
[2022-11-01 15:10:53,997][lightning][INFO] - reference : сбер набери ковалева
[2022-11-01 15:10:53,998][lightning][INFO] - prediction: 
[2022-11-01 15:10:54,338][lightning][INFO] - reference : салют набери сергея
[2022-11-01 15:10:54,338][lightning][INFO] - prediction: 
[2022-11-01 15:10:54,637][lightning][INFO] - reference : джой продолжить
[2022-11-01 15:10:54,638][lightning][INFO] - prediction: 
[2022-11-01 15:10:54,964][lightning][INFO] - reference : афина вызов кире нуруллину
[2022-11-01 15:10:54,964][lightning][INFO] - prediction: 
[2022-11-01 15:10:55,183][lightning][INFO] - reference : сбер вызов валерону
[2022-11-01 15:10:55,184][lightning][INFO] - prediction: 
[2022-11-01 15:10:55,445][lightning][INFO] - reference : афина скрой приложение
[2022-11-01 15:10:55,445][lightning][INFO] - prediction: 
[2022-11-01 15:10:55,831][lightning][INFO] - reference : сбер случайный трек
[2022-11-01 15:10:55,832][lightning][INFO] - prediction: 
[2022-11-01 15:10:56,232][lightning][INFO] - reference : салют кто лучше играет месси или роналду
[2022-11-01 15:10:56,233][lightning][INFO] - prediction: 
[2022-11-01 15:10:56,803][lightning][INFO] - reference : эбби хэтчер
[2022-11-01 15:10:56,804][lightning][INFO] - prediction: 
[2022-11-01 15:10:57,276][lightning][INFO] - reference : зачем нужны фразеологизмы если они никому не понятны
[2022-11-01 15:10:57,276][lightning][INFO] - prediction: 
[2022-11-01 15:10:57,732][lightning][INFO] - reference : что такое перспектива
[2022-11-01 15:10:57,732][lightning][INFO] - prediction: 
[2022-11-01 15:10:58,038][lightning][INFO] - reference : салют поставь явь
[2022-11-01 15:10:58,038][lightning][INFO] - prediction: 
[2022-11-01 15:10:58,273][lightning][INFO] - reference : сбер перезвони шарипову
[2022-11-01 15:10:58,273][lightning][INFO] - prediction: 
[2022-11-01 15:10:58,529][lightning][INFO] - reference : афина предыдущая
[2022-11-01 15:10:58,529][lightning][INFO] - prediction: 
[2022-11-01 15:10:58,925][lightning][INFO] - reference : салют следующий трек
[2022-11-01 15:10:58,925][lightning][INFO] - prediction: 
[2022-11-01 15:10:59,210][lightning][INFO] - reference : джой набери склярову
[2022-11-01 15:10:59,211][lightning][INFO] - prediction: 
[2022-11-01 15:10:59,429][lightning][INFO] - reference : афина завершить навык
[2022-11-01 15:10:59,429][lightning][INFO] - prediction: 
[2022-11-01 15:10:59,837][lightning][INFO] - reference : салют дизлайк
[2022-11-01 15:10:59,838][lightning][INFO] - prediction: 
[2022-11-01 15:11:00,347][lightning][INFO] - reference : афина здравствуйте помогите подключить быстрый платеж
[2022-11-01 15:11:00,347][lightning][INFO] - prediction: 
[2022-11-01 15:11:00,942][lightning][INFO] - reference : джой веб сайт чемпионат испании по футболу
[2022-11-01 15:11:00,942][lightning][INFO] - prediction: 
[2022-11-01 15:11:01,641][lightning][INFO] - reference : джой почему в японии женщинам не дают готовить суши
[2022-11-01 15:11:01,641][lightning][INFO] - prediction: 
[2022-11-01 15:11:02,658][lightning][INFO] - reference : салют карта маршалловы острова
[2022-11-01 15:11:02,659][lightning][INFO] - prediction: 
[2022-11-01 15:11:03,288][lightning][INFO] - reference : салют какие неореализм в кино ты знаешь
[2022-11-01 15:11:03,289][lightning][INFO] - prediction: 
[2022-11-01 15:11:03,796][lightning][INFO] - reference : афина давай через пять минут спать
[2022-11-01 15:11:03,797][lightning][INFO] - prediction: 
[2022-11-01 15:11:04,311][lightning][INFO] - reference : афина какие виды эрис ты знаешь
[2022-11-01 15:11:04,312][lightning][INFO] - prediction: 
[2022-11-01 15:11:04,825][lightning][INFO] - reference : салют в каком городе находится памятник родина мать
[2022-11-01 15:11:04,826][lightning][INFO] - prediction: 
[2022-11-01 15:11:05,306][lightning][INFO] - reference : салют как называется валюта в пакистане
[2022-11-01 15:11:05,307][lightning][INFO] - prediction: 
